Country,Code,Year,Co2 Emission
Africa,,1940,49650864
Africa,,1941,54033008
Africa,,1942,58829184
Africa,,1943,60126240
Africa,,1944,66648160
Africa,,1945,67531184
Africa,,1946,68168720
Africa,,1947,67952544
Africa,,1948,71744784
Africa,,1949,77354368
Africa,,1950,94941568
Africa,,1951,101203344
Africa,,1952,110425632
Africa,,1953,112078096
Africa,,1954,117640048
Africa,,1955,129529728
Africa,,1956,135260224
Africa,,1957,141752832
Africa,,1958,148769392
Africa,,1959,147841143.3
Africa,,1960,156567067.8
Africa,,1961,161994254.1
Africa,,1962,166334786.6
Africa,,1963,176334743
Africa,,1964,193639229.6
Africa,,1965,213634280.9
Africa,,1966,221081974.5
Africa,,1967,237045012.2
Africa,,1968,257282104.4
Africa,,1969,277915809.1
Africa,,1970,302623753.9
Africa,,1971,331868172.1
Africa,,1972,351877790.8
Africa,,1973,378012574.7
Africa,,1974,388408344.3
Africa,,1975,387307167.4
Africa,,1976,420186590.8
Africa,,1977,433019043.8
Africa,,1978,462508407.8
Africa,,1979,499039438.4
Africa,,1980,535662719.8
Africa,,1981,548541106.2
Africa,,1982,571681434.7
Africa,,1983,594483205.9
Africa,,1984,649208757
Africa,,1985,665646575.4
Africa,,1986,689587818.6
Africa,,1987,689585630.7
Africa,,1988,724597302.5
Africa,,1989,697746148
Africa,,1990,657850152.1
Africa,,1991,686854278.6
Africa,,1992,669557139.1
Africa,,1993,709543245
Africa,,1994,720231497
Africa,,1995,775510660.8
Africa,,1996,793572765.9
Africa,,1997,812679985
Africa,,1998,835329976.3
Africa,,1999,828335346.2
Africa,,2000,884531576.9
Africa,,2001,879118731.4
Africa,,2002,884151838.9
Africa,,2003,961971967.9
Africa,,2004,1033091840
Africa,,2005,1044075215
Africa,,2006,1083798148
Africa,,2007,1126332954
Africa,,2008,1178142922
Africa,,2009,1188275614
Africa,,2010,1193783772
Africa,,2011,1198373015
Africa,,2012,1233842174
Africa,,2013,1250643564
Africa,,2014,1290489212
Africa,,2015,1289003257
Africa,,2016,1310656389
Africa,,2017,1331739959
Australia,AUS,1940,29040864
Australia,AUS,1941,34547856
Australia,AUS,1942,36504432
Australia,AUS,1943,34991200
Australia,AUS,1944,34210768
Australia,AUS,1945,32697536
Australia,AUS,1946,35423552
Australia,AUS,1947,38017664
Australia,AUS,1948,38424368
Australia,AUS,1949,37651264
Australia,AUS,1950,54743824
Australia,AUS,1951,59034368
Australia,AUS,1952,60206848
Australia,AUS,1953,59441072
Australia,AUS,1954,67846288
Australia,AUS,1955,70682224
Australia,AUS,1956,73038176
Australia,AUS,1957,74525760
Australia,AUS,1958,77618176
Australia,AUS,1959,83708157.14
Australia,AUS,1960,88118899.96
Australia,AUS,1961,90503896.51
Australia,AUS,1962,94823455.35
Australia,AUS,1963,100934264.5
Australia,AUS,1964,108875766.1
Australia,AUS,1965,120852668.9
Australia,AUS,1966,120219302.1
Australia,AUS,1967,129144211.7
Australia,AUS,1968,134496899.7
Australia,AUS,1969,142123802.5
Australia,AUS,1970,147479768.2
Australia,AUS,1971,152629536.2
Australia,AUS,1972,157335545.3
Australia,AUS,1973,170827394.5
Australia,AUS,1974,172189386.2
Australia,AUS,1975,175713926.1
Australia,AUS,1976,174074696.8
Australia,AUS,1977,187604866.9
Australia,AUS,1978,201820178.7
Australia,AUS,1979,204869575
Australia,AUS,1980,220531000.1
Australia,AUS,1981,230132643.2
Australia,AUS,1982,233888646.4
Australia,AUS,1983,224785013.7
Australia,AUS,1984,236361192.4
Australia,AUS,1985,240987972.4
Australia,AUS,1986,239722218.6
Australia,AUS,1987,255850224.3
Australia,AUS,1988,260878795.5
Australia,AUS,1989,277485607.8
Australia,AUS,1990,278424375.7
Australia,AUS,1991,279872363.9
Australia,AUS,1992,284912124.3
Australia,AUS,1993,289234856.5
Australia,AUS,1994,294014610.4
Australia,AUS,1995,305409799.3
Australia,AUS,1996,312361210
Australia,AUS,1997,320794696.4
Australia,AUS,1998,334684106.5
Australia,AUS,1999,344063336.2
Australia,AUS,2000,350194581.8
Australia,AUS,2001,357668742.8
Australia,AUS,2002,362209093.8
Australia,AUS,2003,369725835.4
Australia,AUS,2004,383204944.7
Australia,AUS,2005,386515211.6
Australia,AUS,2006,392681873.2
Australia,AUS,2007,400415729.4
Australia,AUS,2008,405048537.2
Australia,AUS,2009,408672631.7
Australia,AUS,2010,406752772.7
Australia,AUS,2011,404246571.2
Australia,AUS,2012,407146057.1
Australia,AUS,2013,398163798.2
Australia,AUS,2014,393464239.2
Australia,AUS,2015,402995453.4
Australia,AUS,2016,413369923
Australia,AUS,2017,413092654.5
Canada,CAN,1940,108626608
Canada,CAN,1941,120157216
Canada,CAN,1942,131083264
Canada,CAN,1943,138066848
Canada,CAN,1944,140411808
Canada,CAN,1945,130526336
Canada,CAN,1946,138429584
Canada,CAN,1947,143555520
Canada,CAN,1948,158515632
Canada,CAN,1949,145032112
Canada,CAN,1950,154144480
Canada,CAN,1951,162688928
Canada,CAN,1952,159420640
Canada,CAN,1953,160622432
Canada,CAN,1954,162982048
Canada,CAN,1955,169489312
Canada,CAN,1956,189820848
Canada,CAN,1957,182833600
Canada,CAN,1958,182177744
Canada,CAN,1959,184481354.2
Canada,CAN,1960,192716174.8
Canada,CAN,1961,194000693.6
Canada,CAN,1962,206990771.2
Canada,CAN,1963,210910775.7
Canada,CAN,1964,237577733.3
Canada,CAN,1965,251916994.9
Canada,CAN,1966,259074370.8
Canada,CAN,1967,281637036.1
Canada,CAN,1968,303261340.1
Canada,CAN,1969,307119205.2
Canada,CAN,1970,341177214.4
Canada,CAN,1971,352285083.9
Canada,CAN,1972,380786581.1
Canada,CAN,1973,381264658.9
Canada,CAN,1974,389605214.8
Canada,CAN,1975,396772741
Canada,CAN,1976,398945980.5
Canada,CAN,1977,407771418.8
Canada,CAN,1978,415505384.6
Canada,CAN,1979,441646909.9
Canada,CAN,1980,442817270.9
Canada,CAN,1981,429598251.7
Canada,CAN,1982,414426417.1
Canada,CAN,1983,408309666.8
Canada,CAN,1984,425199344.9
Canada,CAN,1985,421675597
Canada,CAN,1986,404660121
Canada,CAN,1987,430921725.4
Canada,CAN,1988,455608027
Canada,CAN,1989,462817718.7
Canada,CAN,1990,463879790.7
Canada,CAN,1991,454627504.2
Canada,CAN,1992,468864767.5
Canada,CAN,1993,467879575.2
Canada,CAN,1994,483058456.9
Canada,CAN,1995,495664515.6
Canada,CAN,1996,510556786.4
Canada,CAN,1997,525253071.6
Canada,CAN,1998,534236497.5
Canada,CAN,1999,550043150.2
Canada,CAN,2000,572530740
Canada,CAN,2001,564635320.1
Canada,CAN,2002,570885097.8
Canada,CAN,2003,587596290.5
Canada,CAN,2004,585832799.3
Canada,CAN,2005,576801628.7
Canada,CAN,2006,570487642.1
Canada,CAN,2007,594140241.8
Canada,CAN,2008,574805870.6
Canada,CAN,2009,540518686.7
Canada,CAN,2010,555459693.7
Canada,CAN,2011,560775900.5
Canada,CAN,2012,563675200.3
Canada,CAN,2013,568892395.7
Canada,CAN,2014,568008388
Canada,CAN,2015,565576677
Canada,CAN,2016,558188999.7
Canada,CAN,2017,572782585.8
China,CHN,1940,86100336
China,CHN,1941,107615344
China,CHN,1942,113869792
China,CHN,1943,97304848
China,CHN,1944,97865440
China,CHN,1945,50350688
China,CHN,1946,31275904
China,CHN,1947,33587888
China,CHN,1948,23852640
China,CHN,1949,59309168
China,CHN,1950,78647760
China,CHN,1951,101723632
China,CHN,1952,128221680
China,CHN,1953,134102400
China,CHN,1954,161256304
China,CHN,1955,190890736
China,CHN,1956,216348208
China,CHN,1957,256348096
China,CHN,1958,525380960
China,CHN,1959,720152146.7
China,CHN,1960,778979465.8
China,CHN,1961,550958537.3
China,CHN,1962,439342105.3
China,CHN,1963,435517603.7
China,CHN,1964,435703730.3
China,CHN,1965,474680624.9
China,CHN,1966,521458912.9
China,CHN,1967,432223556.9
China,CHN,1968,467805643
China,CHN,1969,575944671.2
China,CHN,1970,770167190.3
China,CHN,1971,874016350.7
China,CHN,1972,928893957.8
China,CHN,1973,965646598.3
China,CHN,1974,985085216
China,CHN,1975,1142101906
China,CHN,1976,1190964535
China,CHN,1977,1304402788
China,CHN,1978,1455257506
China,CHN,1979,1487113084
China,CHN,1980,1458886738
China,CHN,1981,1442782298
China,CHN,1982,1570468325
China,CHN,1983,1655810483
China,CHN,1984,1802317096
China,CHN,1985,1951773228
China,CHN,1986,2052242012
China,CHN,1987,2191053006
